course_number	term	instructor	question_id	question_response
103	Fall 2023	Dr. Patel	Q1	Dr. Patel is a solid instructor. The lectures are clear and well organized even if they are not always the most exciting.
103	Fall 2023	Dr. Patel	Q1	The course was fine overall. Nothing stood out as exceptional but nothing was particularly bad either.
103	Fall 2023	Dr. Patel	Q1	I appreciated the structured format of the class. Knowing what to expect each week helped me plan my studying.
103	Fall 2023	Dr. Patel	Q1	The material was presented clearly but I wished there were more opportunities for discussion and student participation.
103	Fall 2023	Dr. Patel	Q1	Dr. Patel is approachable and responds to emails quickly. That made a real difference when I had questions outside of class.
103	Fall 2023	Dr. Patel	Q1	The course content was relevant and up to date. I liked that Dr. Patel incorporated recent research into the lectures.
103	Fall 2023	Dr. Patel	Q2	The assignments felt disconnected from what we covered in lecture. More alignment between the two would improve the course.
103	Fall 2023	Dr. Patel	Q2	Exam questions sometimes came from material that was only briefly mentioned in class. That felt unfair and stressful.
103	Fall 2023	Dr. Patel	Q2	More diverse examples in the datasets used would have been helpful. Most examples came from the same narrow context.
103	Fall 2023	Dr. Patel	Q2	The course could benefit from more group work and collaborative projects. Working alone the entire semester felt isolating.
103	Fall 2023	Dr. Patel	Q2	Some students dominated class discussions and there was no structure for more equitable participation. That needs to change.
103	Fall 2023	Dr. Patel	Q2	The pace was manageable but a bit slow at times. I think we could cover more ground with tighter lecture structure.
