course_number	term	instructor	question_id	question_response
101	Fall 2024	Dr. Smith	Q1	Dr. Smith is one of the best professors I have had. She explains concepts clearly and always makes time for questions after class.
101	Fall 2024	Dr. Smith	Q1	The lectures were engaging and I loved how she connected theory to real world examples. Truly exceptional teaching.
101	Fall 2024	Dr. Smith	Q1	I felt very comfortable asking questions in class. The environment was welcoming and inclusive for everyone.
101	Fall 2024	Dr. Smith	Q1	Office hours were always available and Dr. Smith was patient and thorough in her explanations. Incredibly helpful.
101	Fall 2024	Dr. Smith	Q1	The course material was challenging but Dr. Smith made sure no one felt left behind. Great support throughout the semester.
101	Fall 2024	Dr. Smith	Q1	I appreciated how diverse the examples were in her datasets. It felt like she considered students from all backgrounds.
101	Fall 2024	Dr. Smith	Q1	Best class I have taken so far. The workload was fair and the feedback on assignments was always constructive and specific.
101	Fall 2024	Dr. Smith	Q1	Dr. Smith genuinely cares about her students. I never felt dismissed or ignored when I had concerns about the material.
101	Fall 2024	Dr. Smith	Q2	The grading rubric could be a bit clearer on some assignments. I was not always sure what was expected.
101	Fall 2024	Dr. Smith	Q2	More practice problems before the exam would have been helpful. I felt slightly underprepared for the midterm.
101	Fall 2024	Dr. Smith	Q2	The pace of the second half of the semester was faster than the first. Some students struggled to keep up including myself.
101	Fall 2024	Dr. Smith	Q2	Office hours conflicted with my work schedule most weeks. It would help to have an evening option for students with jobs.
101	Fall 2024	Dr. Smith	Q2	I wished the course had more diverse representation in the reading list. Most examples came from a narrow set of perspectives.
