course_number	term	instructor	question_id	question_response
104	Spring 2025	Prof. Lee	Q1	Prof. Lee is an outstanding educator. Every lecture felt purposeful and I always left with a deeper understanding of the material.
104	Spring 2025	Prof. Lee	Q1	The way Prof. Lee structures discussions is remarkable. Every student has a voice and no one dominates the conversation.
104	Spring 2025	Prof. Lee	Q1	I felt seen and heard in this class in a way I rarely do. Prof. Lee creates a genuinely inclusive learning environment.
104	Spring 2025	Prof. Lee	Q1	The feedback on assignments was the most detailed and constructive I have received in any course. It actually helped me improve.
104	Spring 2025	Prof. Lee	Q1	Prof. Lee anticipated student questions before they were even asked. The level of preparation and care was extraordinary.
104	Spring 2025	Prof. Lee	Q1	I came into this course struggling with the subject and left feeling genuinely confident. That transformation is entirely due to Prof. Lee.
104	Spring 2025	Prof. Lee	Q1	The course materials were diverse and representative. I finally saw examples that reflected my own background and experience.
104	Spring 2025	Prof. Lee	Q1	Office hours were offered at multiple times including evenings which made them accessible to students who work or commute.
104	Spring 2025	Prof. Lee	Q2	The only improvement I can suggest is more time on the final two units. They felt slightly rushed compared to earlier topics.
104	Spring 2025	Prof. Lee	Q2	A few of the readings were very dense and could benefit from a brief summary or guide to help students navigate them.
104	Spring 2025	Prof. Lee	Q2	The course could use a few more low stakes assignments early on to help students calibrate before the major projects.
104	Spring 2025	Prof. Lee	Q2	I would have liked more recorded lectures available for review. Rewatching key concepts would have helped my studying significantly.
